Baguio Bethesda School (P),,Comembo ES (M),,Comembo ES (M),
Bahay Tuluyan Laguna (P),,GK Muntinlupa (M),,GK Muntinlupa (M),
Banawe School and Rice Terraces (P),,Hospicio de San Jose: Welfare Institution (M),,Hospicio de San Jose: Welfare Institution (M),
Bataan Sea Turtles (P),,Kids International (M),,Kids International (M),
Botolan Aeta Farming Community (P),,Papaya Academy ES Students (M),,Papaya Academy ES Students (M),
CJ Learning Rizal (P),,Papaya Academy HS students (M),,Papaya Academy HS students (M),
Eco Stairway (P),,Philippine Inst. for the Deaf PID (M),,Philippine Inst. for the Deaf PID (M),
Estancia Elementary School Panay (P),,Project Best at Buting ES (M),,Project Best at Buting ES (M),
ICARE A.L.O.T (P),,RED 1 (Renovate to Educate) (M),,RED 1 (Renovate to Educate) (M),
La Union (P),,RED 2 (Renovate to Educate) (M),,RED 2 (Renovate to Educate) (M),
Mad Travel Subic (P),,SBP (M),,SBP (M),
Mad Travel Zambales (P),,SPECS Pasay (M),,SPECS (M),
Nueva Ecija Girls' Home (P),,SPECS Tramo (M),,,
Project Pearl Bulacan (P),,Special Olympics w/ADB (M),,Special Olympics w/ADB (M),Project Bantu (M)
Stairway Foundation (P),,Stepping Stones (M),,,
Tarlac Farming Community (P),,Young Focus:Love2Learn (M),,Young Focus:Love2Learn (M),
rED Baguio (P),,,,,
,,,,,
,,,,,
Baguio Bethesda School (P),,,,Baguio Bethesda School (P),
Bahay Tuluyan Laguna (P),,,,Bahay Tuluyan Laguna (P),
Banawe School and Rice Terraces (P),,,,,
Bataan Sea Turtles (P),,,,Bataan Sea Turtles (P),
Botolan Aeta Farming Community (P),,,,Botolan Aeta Farming Community (P),
CJ Learning Rizal (P),,,,CJ Learning Rizal (P),
Eco Stairway (P),,,,ECO ICARE (P),
Estancia Elementary School Panay (P),,,,,
ICARE A.L.O.T (P),,,,ICARE A.L.O.T (P),
La Union (P),,,,La Union (P),
Mad Travel Subic (P),,,,Mad Travel Subic (P),
Mad Travel Zambales (P),,,,Mad Travel Zambables (P),
Nueva Ecija Girls' Home (P),,,,Nueva Ecija Girls' Home (P),
Project Pearl Bulacan (P),,,,Project Pearl Bulacan (P),
Stairway Foundation (P),,,,Stairway Foundation (P),
Tarlac Farming Community (P),,,,Tarlac Farming Community (P),
rED Baguio (P),,,,rED Baguio (P),
,,,,,
,,,,,
,,,,,
Project Bantu (M),,,,,
GK Muntinlupa (M),,,,,
SBP (M),,,,,
Hospicio de San Jose: Welfare Institution (M),,,,,
Kids International (M),,,,,
Papaya Academy HS students (M),,,,,
Comembo ES (M),,,,,
Papaya Academy ES Students (M),,,,,
Philippine Inst. for the Deaf PID (M),,,,,
Project Best at Buting ES (M),,,,,
RED 1 (Renovate to Educate) (M),,,,,
RED 2 (Renovate to Educate) (M),,,,,
Special Olympics w/ADB (M),,,,,
SPECS (M),,,,,
Young Focus:Love2Learn (M),,,,,
Young Focus:Love2Learn (M),,,,,
ICARE A.L.O.T (P),,,,,
Baguio Bethesda School (P),,,,,
Bataan Sea Turtles (P),,,,,
Botolan Aeta Farming Community (P),,,,,
Nueva Ecija Girls' Home (P),,,,,
Project Pearl Bulacan (P),,,,,
rED Baguio (P),,,,,
Mad Travel Subic (P),,,,,
La Union (P),,,,,
Mad Travel Zambables (P),,,,,
Stairway Foundation (P),,,,,
ECO ICARE (P),,,,,
Tarlac Farming Community (P),,,,,
Bahay Tuluyan Laguna (P),,,,,
CJ Learning Rizal (P),,,,,